(1, 1.411309691136041)
(4, 1.3910398549749285)
(4, 1.3882730050964027)
(3, 1.4013389700823762)
(2, 1.3905155503322841)
(4, 1.3959506873808838)
(1, 1.3848885184283557)
(1, 1.4032703281669414)
(4, 1.4009535538187414)
(2, 1.4100522679664897)
(3, 1.4059265871074456)
(4, 1.391260733130921)
(4, 1.4124616065401518)
(4, 1.4000447953189825)
(0, 1.3808896753491489)
(4, 1.410600494674384)
(2, 1.398880109303404)
(2, 1.4036216904475758)
(3, 1.3935643502918815)
(4, 1.4053638562347692)
(3, 1.4049022308041577)
(0, 1.4052788756669121)
(0, 1.4118243257304324)
(1, 1.4047156529939326)
(3, 1.3988391919658005)
(0, 1.4065388876222569)
(2, 1.3874935923039216)
(1, 1.3968111184809289)
(3, 1.3706866809074056)
(3, 1.4084889806929226)
(1, 1.411343952960554)
(1, 1.3961983616790161)
(2, 1.3864561030953997)
(4, 1.347206702443826)
(3, 1.4069212692875521)
(4, 1.4010674152695246)
(2, 1.3880140441494424)
(0, 1.4096181686720786)
(2, 1.3846968721533879)
(3, 1.4044468736952158)
(2, 1.3121024259402294)
(4, 1.4034228845485448)
(4, 1.408200514117515)
(2, 1.3858009146863113)
(2, 1.4097230859894607)
(1, 1.3848304912879845)
(2, 1.391274245287457)
(3, 1.4129508775622446)
(3, 1.4091865461958006)
(1, 1.3256584412924697)
(0, 1.4075662855056754)
(4, 1.402308100433118)
(0, 1.40187591265704)
(2, 1.392705189263459)
(2, 1.3707236319479998)
(1, 1.3983852043530398)
(1, 1.4082945378782556)
(1, 1.393335791392292)
(1, 1.365032667604118)
(3, 1.3930291901091147)
(2, 1.4097075882245917)
(0, 1.3923030974726627)
(3, 1.3963725872639519)
(4, 1.3934495989889495)
(2, 1.3961376490177546)
(3, 1.3931226209405734)
(0, 1.409880695096464)
(1, 1.3769848038292845)
(0, 1.4044239563473409)
(1, 1.4030356750039694)
(4, 1.3952000459099776)
(2, 1.3861437535833028)
(1, 1.397647635222644)
(3, 1.4122933303488343)
(3, 1.3935643831942013)
(0, 1.3977977648347077)
(2, 1.4053222889144636)
(0, 1.4022980827064089)
(3, 1.4066942741517081)
(2, 1.3825155230705317)
(2, 1.395737612508789)
(1, 1.3915028738155715)
(1, 1.4088915009193768)
(3, 1.4101042442352416)
(3, 1.4037432311002895)
(0, 1.4102192927315853)
(2, 1.4072538044048404)
(2, 1.4012507681231001)
(2, 1.397860840833484)
(1, 1.3824877532221405)
(0, 1.3987481719374173)
(0, 1.4057155842912683)
(1, 1.3834626045557676)
(1, 1.394226273515415)
(2, 1.4095578536518694)
(4, 1.3903051992546993)
(2, 1.3769939611879578)
(4, 1.401066929627325)
(0, 1.4016265475696412)
(3, 1.3949930932369443)
(3, 1.4044974153475565)
(3, 1.3926840081820462)
(1, 1.3804444063459076)
(3, 1.3422970035761206)
(3, 1.4070566826380535)
(1, 1.404810903472377)
(3, 1.363995702331407)
(0, 1.3871397016618103)
(4, 1.3855050415575865)
(3, 1.3925038781783592)
(2, 1.4105909418361477)
(2, 1.3920148789241746)
(4, 1.400769817996165)
(3, 1.410969530714926)
(1, 1.412328342163285)
